Year,Player,AllStar,TTLAllStar
2021,Lindsay Whalen,,22
2021,Nneka Ogwumike,,8
2021,Skylar Diggins-Smith,1,8
2021,Courtney Vandersloot,1,7
2021,DeWanna Bonner,,7
2021,Epiphanny Prince,,7
2021,Breanna Stewart,1,6
2021,Jewell Loyd,1,6
2021,Chelsea Gray,,5
2021,Jonquel Jones,1,5
2021,Liz Cambage,,4
2021,Tiffany Hayes,,4
2021,Diamond DeShields,,3
2021,Natasha Howard,,3
2021,Odyssey Sims,,3
2021,A'ja Wilson,1,2
2021,Arike Ogunbowale,1,2
2021,Myisha Hines-Allen,,2
2021,Napheesa Collier,,2
