Year,Pick,Player
2021,12,Iliana Rupert
2021,11,Aaliyah Wilson
2021,10,Stephanie Watts
2021,9,Rennia Davis
2021,8,Shyla Heal
2021,7,Jasmine Walker
2021,6,Michaela Onyenwere
2021,5,Chelsea Dungee
2021,4,Kysre Gondrezick
2021,3,Aari McDonald
2021,2,Awak Kuier
2021,1,Charli Collier
